2022-12-14 18:48:31,604 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | TEST
2022-12-14 18:51:07,993 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 18:51:10,038 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 18:51:55,313 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 18:51:57,784 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 18:53:30,903 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 18:53:32,372 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 18:55:35,146 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 18:56:21,705 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 18:57:36,214 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 18:58:24,427 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 19:05:04,811 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 19:05:04,811 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 21:15:31,410 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 21:15:31,411 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 21:23:26,319 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 21:23:26,319 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 21:25:16,424 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 21:25:19,264 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
2022-12-14 21:26:40,184 | ERROR | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Error Test
2022-12-14 21:26:42,490 | CRITICAL | C:\Users\BudzzeM\PythonProjects\NewsPaper\newspaper\newsportal\views.py | None | Critical Test
